Best Price,Per Amount,Single Price,Product Name,Link,Category,Varietal,Size,Standard Drinks,Alcohol Volume,Country,Brand Name,Closure,Whisky Style,Age,Region,Current Vintage,State,Wine Style,Vegan Friendly,Beer Style,Organic,Food Match,Wine Maker,Spirit Style,Wine Body,Cellar Release,Cider Style,Langtons Classified
$50.50 ,6,$50.50 ,8 Year Old Blended Canadian Whisky 700mL,https://www.danmurphys.com.au/product/DM_644250/canadian-club-8-year-old-blended-canadian-whisky-700ml,Canadian Whisky,Canadian Whisky,700mL,22,40.00%,Canada,Canadian Club,Screw Cap,Blended Whisky,8 Year Old,,,,,,,,,,,,,,
$58.40 ,6,$58.40 ,Classic 12 Year Old Whisky 700mL,https://www.danmurphys.com.au/product/DM_49655/canadian-club-classic-12-year-old-whisky-700ml,Canadian Whisky,Canadian Whisky,700mL,22,40.00%,Canada,Canadian Club,,,,,Canadian Club Classic 12 Year Old Whisky,,,,,,,,,,,,
$49.95 ,6,$49.95 ,Whisky 1L,https://www.danmurphys.com.au/product/DM_915914/canadian-club-whisky-1l,Canadian Whisky,Canadian Whisky,1L,29.2,37.00%,Canada,Canadian Club,Screw Cap,,6 Year Old,,,,,,,,,,,,,,
$38.60 ,12,$38.60 ,Whisky 700mL,https://www.danmurphys.com.au/product/DM_21534/canadian-club-whisky-700ml,Canadian Whisky,Canadian Whisky,700mL,20,37.00%,Canada,Canadian Club,Screw Cap,Blended Whisky,6 Year Old,,Canadian Club Whisky,,,,,,,,,,,,
$61.40 ,6,$61.40 ,Blended Canadian Whisky 750mL,https://www.danmurphys.com.au/product/DM_642587/collingwood-blended-canadian-whisky-750ml,Canadian Whisky,Canadian Whisky,750mL,24,40.00%,Canada,Collingwood,Screw Cap,,,,,,,,,,,,,,,,
$72.30 ,6,$72.30 ,Black Canadian Whisky 750mL,https://www.danmurphys.com.au/product/DM_801755/crown-royal-black-canadian-whisky-750ml,Canadian Whisky,Canadian Whisky,750mL,26.6,45.00%,Canada,Crown Royal,,,,,,,,,,,,,,,,,
$59.95 ,1,$59.95 ,De Luxe Canadian Whisky 750mL,https://www.danmurphys.com.au/product/DM_755206/crown-royal-de-luxe-canadian-whisky-750ml,Canadian Whisky,Canadian Whisky,750mL,23.7,40.00%,Canada,Crown Royal,,,,,,,,,,,,,,,,,
$71.30 ,6,$71.30 ,Maple Finished Canadian Whisky 750mL,https://www.danmurphys.com.au/product/DM_787918/crown-royal-maple-finished-canadian-whisky-750ml,Canadian Whisky,Canadian Whisky,750mL,24,40.00%,Canada,Crown Royal,,,,,,,,,,,,,,,,,
$91.10 ,1,$91.10 ,Reserve Blended Canadian Whisky 750mL,https://www.danmurphys.com.au/product/DM_801903/crown-royal-reserve-blended-canadian-whisky-750ml,Canadian Whisky,Canadian Whisky,750mL,23.7,40.00%,Canada,Crown Royal,,,,,,,,,,,,,,,,,
$160.40 ,6,$160.40 ,XR Canadian Whisky 750mL,https://www.danmurphys.com.au/product/DM_801909/crown-royal-xr-canadian-whisky-750ml,Canadian Whisky,Canadian Whisky,750mL,23.7,40.00%,Canada,Crown Royal,Stopper,,,,,,,,,,,,,,,,
